n_participants,n_cues,beta_interaction,power_two_way,rejection_naive,mean_beta_hat,sd_beta_hat,mean_se_two_way,mean_se_naive,se_inflation_two_way_over_naive
80,60,0.1,0.8083333333333333,0.9916666666666667,0.1000595205121511,0.034351919975089934,0.03530649850697364,0.01820408417858489,1.9394822700560719
80,72,0.1,0.825,0.975,0.09395249877599261,0.03219682374481574,0.03356219834216046,0.016635174716961396,2.017544084339559
120,60,0.1,0.8666666666666667,0.9833333333333333,0.10087056333770393,0.030894535917977226,0.03204172158532322,0.0147324663655801,2.1749054632280207
120,72,0.1,0.9416666666666667,0.9916666666666667,0.10371276426990336,0.0318652132996254,0.029941362620702957,0.013420593681880399,2.2310013498976438
180,48,0.1,0.8833333333333333,0.9833333333333333,0.10062189480522238,0.030670890049466094,0.03212541651591598,0.013394375170900308,2.3984259143128557
180,60,0.1,0.875,0.9916666666666667,0.09821656390032081,0.031197997915853697,0.030009986274312055,0.012040126162825073,2.4924976589506573
180,72,0.1,0.9083333333333333,1.0,0.099472295377705,0.032459733688457185,0.02790926685439483,0.010949840060303322,2.5488287226746684
240,36,0.1,0.8,0.925,0.09926774798753187,0.039730097912666566,0.03607538510744466,0.013655395072740278,2.641841185500412
240,48,0.1,0.8833333333333333,1.0,0.10178235628933124,0.03055903858214686,0.03166880469286941,0.011757088435787013,2.6935924541040093
240,60,0.1,0.8833333333333333,1.0,0.09975453553002674,0.033148061494592734,0.029087983789036678,0.010330798224006602,2.8156569471507362
240,72,0.1,0.975,1.0,0.10223167413823955,0.027884731754045954,0.026693631398415775,0.00942023448738905,2.833648295501643
80,36,0.15,0.9333333333333333,0.9833333333333333,0.14821434182367885,0.0443564495520663,0.040656044305077306,0.02349818895678073,1.7301777758215462
80,48,0.15,0.975,1.0,0.1480892408348426,0.04184684726681345,0.0374042925853691,0.020278781701772837,1.8445039320137804
80,60,0.15,0.9916666666666667,1.0,0.147010875131975,0.03557094035492728,0.03404322331922093,0.01799855811236533,1.8914416980898392
80,72,0.15,0.9833333333333333,1.0,0.15434402899789454,0.03943679718871699,0.0326754911445094,0.01635542539160316,1.99783804836314
120,36,0.15,0.925,0.975,0.14959875467480588,0.046946204263687265,0.0393607175562003,0.01973216345140183,1.9947492150640989
120,48,0.15,0.9916666666666667,1.0,0.15303857368299106,0.03538057291377161,0.034540737115029314,0.01662571680989834,2.077548746317213
120,60,0.15,1.0,1.0,0.14220212841518515,0.034489393773839805,0.032505442518607194,0.014839096842832415,2.190527015416574
120,72,0.15,1.0,1.0,0.1489981663995163,0.03319835324919516,0.030496755077956943,0.013453326436895698,2.2668560984530712
180,36,0.15,0.9666666666666667,1.0,0.14616189361082454,0.04199361412389088,0.03604117062461703,0.01588034917498057,2.2695452239425413
180,48,0.15,0.9916666666666667,1.0,0.1518743974596098,0.033687232396328044,0.03317773615766516,0.013483843223588395,2.460554873526312
180,60,0.15,0.9916666666666667,1.0,0.15314067605663964,0.03256709842590794,0.02995496540043698,0.011976962805065081,2.5010485452763502
180,72,0.15,1.0,1.0,0.14889426249411902,0.0270082351394591,0.02793255993771161,0.010880815556829902,2.5671384458105537
240,36,0.15,0.9833333333333333,1.0,0.14949238949463686,0.039501503354479287,0.0345088851358814,0.013544195178493073,2.5478726997878995
240,48,0.15,0.9916666666666667,1.0,0.15054788063530938,0.03700052380975385,0.031182695027780146,0.011550959528605974,2.699576165127766
240,60,0.15,1.0,1.0,0.15399696330110332,0.03258588614309262,0.02921401651214723,0.010507664511702585,2.780257827951304
240,72,0.15,1.0,1.0,0.15413220185550852,0.027410038560652304,0.026585771443614053,0.009409321127737425,2.82547179362842
80,36,0.2,1.0,1.0,0.21045223510315506,0.04936843606657544,0.04004540768676531,0.023878290970527474,1.677063393531497
80,48,0.2,1.0,1.0,0.19716722040956658,0.03767257117920104,0.03695666901261987,0.019966068608798803,1.8509737563625077
80,60,0.2,1.0,1.0,0.20045598824703922,0.04253187501791593,0.03496138973638266,0.018408172364446616,1.899231984806204
80,72,0.2,1.0,1.0,0.20363083366183374,0.033586911682879604,0.03294715704833098,0.016184447803307488,2.035729451430393
120,36,0.2,1.0,1.0,0.20338217561341762,0.03936874026131196,0.037613253680778995,0.01942031878559746,1.936798983375794
120,48,0.2,1.0,1.0,0.19665145448784666,0.038105434568390766,0.03498408313759836,0.0165843598572178,2.1094623753218116
120,60,0.2,1.0,1.0,0.20258588323326968,0.03381979620824709,0.03199153063721133,0.014632931086036303,2.1862694800592433
120,72,0.2,1.0,1.0,0.20207372007914665,0.03331847147192336,0.03090714066788404,0.01366389233324821,2.2619572749909636
180,36,0.2,1.0,1.0,0.1957412168370281,0.039809905480171076,0.03611028557540975,0.015396589947875681,2.3453430725673123
180,48,0.2,1.0,1.0,0.2050441540130682,0.027204287913192453,0.03290073556830721,0.013725796705604339,2.3970000630180985
180,60,0.2,1.0,1.0,0.2027143966035978,0.03618553939352232,0.03036697512374508,0.011981836997549677,2.5344173126337157
180,72,0.2,1.0,1.0,0.20145218071028506,0.027491393560460292,0.02840047704015344,0.0111367793755531,2.5501517164375853
240,36,0.2,1.0,1.0,0.19791648167177597,0.034706296244653934,0.03569429744774431,0.013719224278093828,2.601772281304503
240,48,0.2,1.0,1.0,0.19462736992871119,0.03529217750224997,0.031502485292928435,0.01151381365485772,2.7360600264394086
240,60,0.2,1.0,1.0,0.19975280970393042,0.031477891831311604,0.02872133481307714,0.010372237475109822,2.7690587380012754
240,72,0.2,1.0,1.0,0.20182651456142217,0.027510363436727064,0.027180063035341085,0.009417953396737502,2.8859840233183363
